BAGTAGID,EVENT,EVENTTIME,TDP_IDCURRNAME,CHUTE,STATUS,BAGSTATUS,REASON
0232744057,20/09/26 0:02:38,20260920 000238,MA010,MA010,TRA,OPEN,OPEN
0232744057,20/09/26 0:04:37,20260920 000437,MA010,MA003,DIS,OPEN,OPEN
0176175219,20/09/26 0:15:05,20260920 001505,MA006,MA006,TRA,OPEN,OPEN
0176175219,20/09/26 0:18:53,20260920 001853,MA006,MA002,DIS,OPEN,OPEN
0176161462,20/09/26 0:31:38,20260920 003138,MA005,MA005,TRA,OPEN,OPEN
0176176854,20/09/26 0:32:57,20260920 003257,MA006,MA006,TRA,OPEN,OPEN
0176161323,20/09/26 0:33:01,20260920 003301,MA006,MA006,TRA,OPEN,OPEN
0176161462,20/09/26 0:35:09,20260920 003509,MA005,MA002,DIS,OPEN,OPEN
0176176854,20/09/26 0:36:30,20260920 003630,MA006,MA002,DIS,OPEN,OPEN
0176161323,20/09/26 0:36:37,20260920 003637,MA006,MA002,DIS,OPEN,OPEN
3781601404,20/09/26 0:37:02,20260920 003702,MA003,MC210,TRA,EARLY,EARLY
3781318883,20/09/26 0:37:10,20260920 003710,MA003,MC210,TRA,EARLY,EARLY
3781083069,20/09/26 0:37:14,20260920 003714,MA003,MC210,TRA,EARLY,EARLY
3781365534,20/09/26 0:37:25,20260920 003725,MA003,MC210,TRA,EARLY,EARLY
3781746377,20/09/26 0:37:41,20260920 003741,MA003,MC210,TRA,EARLY,EARLY
3781386207,20/09/26 0:37:58,20260920 003758,MA003,MC210,TRA,EARLY,EARLY
3781715843,20/09/26 0:38:10,20260920 003810,MA003,MC210,TRA,EARLY,EARLY
3781619652,20/09/26 0:38:14,20260920 003814,MA003,MC210,TRA,EARLY,EARLY
3781143652,20/09/26 0:38:26,20260920 003826,MA003,MC210,TRA,EARLY,EARLY
3781694239,20/09/26 0:38:30,20260920 003830,MA003,MC210,TRA,EARLY,EARLY
