,DAILY DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,REASONS,MA,MB,MC1,MC2,MS1,MS2,TOTAL,,,,,,,,,Count of TIME,Column Labels,,,,,,,,,,,,,,,,,,,
1,EARLY,426,378,2,253,64,,1123,,,,,,,,,Row Labels,DELETE_BSM,EARLY,EMPTY_BAGTAG,HBS,MULTIPLE_BAGTAG,NO_BSM,NO_READ,NO_SORTATION,OPEN,OPERATOR_REQUEST,REBOOK_BSM,TOO_LATE,VERY_LATE,LATE,Grand Total,,,,,
2,OPEN,424,1182,54,103,1349,1,3113,,,,,,,,,MA,4,426,7,1,,1,,14,424,,26,10,,,913,,,,,
3,MULTIPLE_BAGTAG,,,480,433,98,2,1013,,,,,,,,,MB,5,378,14,7,,,,20,1182,2,6,18,7,,1639,,,,,
4,NO_READ,,,505,411,146,8,1070,,,,,,,,,MC1,,2,,,480,22,505,,54,,,7,1,,1071,,,,,
5,NO_BSM,1,,22,49,25,1,98,,,,,,,,,MC2,17,253,1,,433,49,411,10,103,,6,21,80,1,1385,,,,,
6,TOO_LATE,10,18,7,21,,,56,,,,,,,,,MS1,,64,21,,98,25,146,,1349,,,,,,1703,,,,,
7,NO_SORTATION,14,20,,10,,,44,,,,,,,,,MS2,,,,,2,1,8,,1,,,,,,12,,,,,
8,DELETE_BSM,4,5,,17,,,26,,,,,,,,,Grand Total,26,1123,43,8,1013,98,1070,44,3113,2,38,56,88,1,6723,,,,,
9,EMPTY_BAGTAG,7,14,,1,21,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,HBS,1,7,,,,,8,,,,,,,,,,,,,,,,,Count of TIME,Column Labels,,,,,,,,,,,
11,REBOOK_BSM,26,6,,6,,,38,,,,,,,,,,,,,,,,,Row Labels,DELETE_BSM,EARLY,EMPTY_BAGTAG,HBS,NO_BSM,NO_SORTATION,OPEN,OPERATOR_REQUEST,REBOOK_BSM,TOO_LATE,VERY_LATE,Grand Total
12,VERY_LATE,,7,1,80,,,88,,,,,,,,,,,,,,,,,ADS,6,683,,,,33,1310,,31,28,,2091
13,MULTIPLE_BSM,,,,,,,,,,,,,,,,,,,,,,,,BATIK AIR,1,77,,,,1,96,,,,7,182
14,OPERATOR_REQUEST,,2,,,,,2,,,,,,,,,,,,,,,,,GTR,2,16,,,,,20,,,,,38
15,ILLEGAL_BAGTAG,,,,,,,,,,,,,,,,,,,,,,,,PASB,,28,,,,,178,2,1,,,209
16,TAGLESS,,,,,,,,,,,,,,,,,,,,,,,,(blank),,,21,8,1,,2,,,,,32
17,FLIGHT_DELETED,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,9,804,21,8,1,34,1606,2,32,28,7,2552
18,LATE,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FLIGHT_CANCELED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FALLBACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SEND_TO_PROBLEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,REPEATED_BAGTAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NO_READ_NO_BSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TRANSPORT_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MAINTENENANCE_TRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,OVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BUFFERED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,913,1639,1071,1385,1703,12,6723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPEN - GH,,,MA + MB OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
